pair,ligand_gene,receptor_gene,sender_cluster,receiver_cluster,n_sender,n_receiver,mean_score_recv
BAG6__L2-L3-eNeuron|CNTNAP1__Adarb2-iNeuron,BAG6,CNTNAP1,L2-L3-eNeuron,Adarb2-iNeuron,74,18,0.0012185726
ADAM15__L2-L3-eNeuron|SDC4__astrocytes,ADAM15,SDC4,L2-L3-eNeuron,astrocytes,74,31,0.0012169987
MFNG__mural|SLC17A7__L6-eNeuron,MFNG,SLC17A7,mural,L6-eNeuron,10,124,0.0012169221
LGI3__Olig|KCNJ4__L5-eNeuron,LGI3,KCNJ4,Olig,L5-eNeuron,15,64,0.0012163916
GRN__Adarb2-iNeuron|STX1A__L2-L3-eNeuron,GRN,STX1A,Adarb2-iNeuron,L2-L3-eNeuron,18,74,0.0012161533
COL5A3__Olig|SLC17A7__L5-eNeuron,COL5A3,SLC17A7,Olig,L5-eNeuron,15,64,0.0012157544
GRN__Adarb2-iNeuron|KCNJ4__L4-eNeuron,GRN,KCNJ4,Adarb2-iNeuron,L4-eNeuron,18,96,0.0012152733
IGFBP4__L2-L3-eNeuron|SV2A__L6-eNeuron,IGFBP4,SV2A,L2-L3-eNeuron,L6-eNeuron,74,124,0.0012151732
LRRC4B__L6-eNeuron|SV2A__OPC,LRRC4B,SV2A,L6-eNeuron,OPC,124,18,0.0012145914
VTN__mural|ENG__endothelial,VTN,ENG,mural,endothelial,10,33,0.0012134997
LAMC1__endothelial|FLOT1__L5-eNeuron,LAMC1,FLOT1,endothelial,L5-eNeuron,33,64,0.0012134045
ESAM__endothelial|ADAM11__L2-L3-eNeuron,ESAM,ADAM11,endothelial,L2-L3-eNeuron,33,74,0.0012133266
GAS6__endothelial|S1PR1__astrocytes,GAS6,S1PR1,endothelial,astrocytes,33,31,0.0012128627
GRN__Lhx6-iNeuron|CNTNAP1__L5-eNeuron,GRN,CNTNAP1,Lhx6-iNeuron,L5-eNeuron,29,64,0.0012126507
VEGFA__astrocytes|NLGN2__L5-eNeuron,VEGFA,NLGN2,astrocytes,L5-eNeuron,31,64,0.0012120348
VEGFA__astrocytes|CAP1__L5-eNeuron,VEGFA,CAP1,astrocytes,L5-eNeuron,31,64,0.0012120164
