Sender,Receiver,score,Ligand,Receptor
Oligodendrocyte,Microglia,0.0004464218783306742,Adam15,Itgb1
astrocytes,Microglia,0.0,Adam15,Itgb1
endothelial,Microglia,0.0,Adam15,Itgb1
microglia,Microglia,0.0,Adam15,Itgb1
mural,Microglia,0.0,Adam15,Itgb1
Adarb2-iNeuron,Neural Stem,0.0,Adam15,Itgb1
Astrocyte,Neural Stem,0.00014150116147936134,Adam15,Itgb1
Choroid Plexus,Neural Stem,0.00014470168357664677,Adam15,Itgb1
Endothelial,Neural Stem,0.0007277190652774658,Adam15,Itgb1
Ependymal,Neural Stem,0.00013764938904572085,Adam15,Itgb1
Excitatory neuron,Neural Stem,8.408268131396895e-06,Adam15,Itgb1
Interneuron,Neural Stem,0.0,Adam15,Itgb1
L2-L3-eNeuron,Neural Stem,0.0,Adam15,Itgb1
L4-eNeuron,Neural Stem,0.0,Adam15,Itgb1
L5-eNeuron,Neural Stem,0.0,Adam15,Itgb1
L6-eNeuron,Neural Stem,0.0,Adam15,Itgb1
Lhx6-iNeuron,Neural Stem,0.0,Adam15,Itgb1
Microglia,Neural Stem,7.07908223386435e-07,Adam15,Itgb1
Neural Stem,Neural Stem,0.0002559341613443219,Adam15,Itgb1
Neuroblast,Neural Stem,5.023077178515972e-05,Adam15,Itgb1
OPC,Neural Stem,0.0,Adam15,Itgb1
Olig,Neural Stem,0.0,Adam15,Itgb1
Oligodendrocyte,Neural Stem,5.4274410437975906e-05,Adam15,Itgb1
astrocytes,Neural Stem,0.0,Adam15,Itgb1
endothelial,Neural Stem,0.0,Adam15,Itgb1
microglia,Neural Stem,0.0,Adam15,Itgb1
mural,Neural Stem,0.0,Adam15,Itgb1
Adarb2-iNeuron,Neuroblast,0.0,Adam15,Itgb1
Astrocyte,Neuroblast,9.368903942774741e-05,Adam15,Itgb1
Choroid Plexus,Neuroblast,8.994619752753711e-05,Adam15,Itgb1
Endothelial,Neuroblast,0.00036617154706504565,Adam15,Itgb1
Ependymal,Neuroblast,4.4959459912002946e-05,Adam15,Itgb1
Excitatory neuron,Neuroblast,5.392478548458174e-05,Adam15,Itgb1
Interneuron,Neuroblast,6.598300122725682e-05,Adam15,Itgb1
L2-L3-eNeuron,Neuroblast,1.2592103475543012e-05,Adam15,Itgb1
L4-eNeuron,Neuroblast,0.0,Adam15,Itgb1
L5-eNeuron,Neuroblast,0.0,Adam15,Itgb1
L6-eNeuron,Neuroblast,0.0,Adam15,Itgb1
Lhx6-iNeuron,Neuroblast,0.0,Adam15,Itgb1
Microglia,Neuroblast,0.00010014777553284442,Adam15,Itgb1
Neural Stem,Neuroblast,0.00016979233149190892,Adam15,Itgb1
Neuroblast,Neuroblast,0.00027594144516834753,Adam15,Itgb1
OPC,Neuroblast,0.0,Adam15,Itgb1
Olig,Neuroblast,0.0,Adam15,Itgb1
Oligodendrocyte,Neuroblast,3.244819955569892e-05,Adam15,Itgb1
astrocytes,Neuroblast,0.0,Adam15,Itgb1
endothelial,Neuroblast,0.0,Adam15,Itgb1
microglia,Neuroblast,0.0,Adam15,Itgb1
mural,Neuroblast,0.0,Adam15,Itgb1
Adarb2-iNeuron,OPC,0.0005777726688413598,Adam15,Itgb1
Astrocyte,OPC,0.0,Adam15,Itgb1
Choroid Plexus,OPC,0.0,Adam15,Itgb1
Endothelial,OPC,0.0,Adam15,Itgb1
Ependymal,OPC,0.0,Adam15,Itgb1
Excitatory neuron,OPC,0.0,Adam15,Itgb1
Interneuron,OPC,0.0,Adam15,Itgb1
L2-L3-eNeuron,OPC,0.0004932655804874942,Adam15,Itgb1
L4-eNeuron,OPC,6.433442615882777e-05,Adam15,Itgb1
L5-eNeuron,OPC,6.49968752856893e-05,Adam15,Itgb1
L6-eNeuron,OPC,0.00011082504416998178,Adam15,Itgb1
Lhx6-iNeuron,OPC,4.612809700891424e-06,Adam15,Itgb1
Microglia,OPC,0.0,Adam15,Itgb1
Neural Stem,OPC,0.0,Adam15,Itgb1
Neuroblast,OPC,0.0,Adam15,Itgb1
OPC,OPC,0.004865100102849997,Adam15,Itgb1
Olig,OPC,0.0009890466415671483,Adam15,Itgb1
Oligodendrocyte,OPC,0.0,Adam15,Itgb1
astrocytes,OPC,0.0005794111832660376,Adam15,Itgb1
endothelial,OPC,0.00016059298220395007,Adam15,Itgb1
microglia,OPC,2.735072899120565e-05,Adam15,Itgb1
mural,OPC,0.0,Adam15,Itgb1
Adarb2-iNeuron,Olig,3.2289735399011454e-07,Adam15,Itgb1
Astrocyte,Olig,0.0,Adam15,Itgb1
Choroid Plexus,Olig,0.0,Adam15,Itgb1
Endothelial,Olig,0.0,Adam15,Itgb1
Ependymal,Olig,0.0,Adam15,Itgb1
Excitatory neuron,Olig,0.0,Adam15,Itgb1
Interneuron,Olig,0.0,Adam15,Itgb1
L2-L3-eNeuron,Olig,4.6124298820240917e-07,Adam15,Itgb1
L4-eNeuron,Olig,1.7335565909919313e-09,Adam15,Itgb1
L5-eNeuron,Olig,0.00012201801838521316,Adam15,Itgb1
L6-eNeuron,Olig,0.00018164319059551636,Adam15,Itgb1
Lhx6-iNeuron,Olig,1.5605834140263149e-06,Adam15,Itgb1
Microglia,Olig,0.0,Adam15,Itgb1
Neural Stem,Olig,0.0,Adam15,Itgb1
Neuroblast,Olig,0.0,Adam15,Itgb1
OPC,Olig,5.30829070564956e-05,Adam15,Itgb1
Olig,Olig,0.0047739100943260775,Adam15,Itgb1
Oligodendrocyte,Olig,0.0,Adam15,Itgb1
astrocytes,Olig,0.00039983921766751344,Adam15,Itgb1
endothelial,Olig,0.00037384746973524936,Adam15,Itgb1
microglia,Olig,3.495873735934581e-05,Adam15,Itgb1
mural,Olig,0.00012115861425524058,Adam15,Itgb1
Adarb2-iNeuron,Oligodendrocyte,0.0,Adam15,Itgb1
Astrocyte,Oligodendrocyte,0.0,Adam15,Itgb1
Choroid Plexus,Oligodendrocyte,0.0007844551062816531,Adam15,Itgb1
Endothelial,Oligodendrocyte,1.9873276681498935e-06,Adam15,Itgb1
Ependymal,Oligodendrocyte,0.0,Adam15,Itgb1
Excitatory neuron,Oligodendrocyte,0.0,Adam15,Itgb1
Interneuron,Oligodendrocyte,0.0,Adam15,Itgb1
L2-L3-eNeuron,Oligodendrocyte,0.0,Adam15,Itgb1
L4-eNeuron,Oligodendrocyte,0.0,Adam15,Itgb1
L5-eNeuron,Oligodendrocyte,0.0,Adam15,Itgb1
L6-eNeuron,Oligodendrocyte,0.0,Adam15,Itgb1
Lhx6-iNeuron,Oligodendrocyte,0.0,Adam15,Itgb1
Microglia,Oligodendrocyte,0.0,Adam15,Itgb1
Neural Stem,Oligodendrocyte,0.001498165373951451,Adam15,Itgb1
Neuroblast,Oligodendrocyte,2.0112394228767684e-06,Adam15,Itgb1
OPC,Oligodendrocyte,0.0,Adam15,Itgb1
Olig,Oligodendrocyte,0.0,Adam15,Itgb1
Oligodendrocyte,Oligodendrocyte,0.0075656008819890395,Adam15,Itgb1
astrocytes,Oligodendrocyte,0.0,Adam15,Itgb1
endothelial,Oligodendrocyte,0.0,Adam15,Itgb1
microglia,Oligodendrocyte,0.0,Adam15,Itgb1
mural,Oligodendrocyte,0.0,Adam15,Itgb1
Adarb2-iNeuron,astrocytes,5.185534463871604e-06,Adam15,Itgb1
Astrocyte,astrocytes,0.0,Adam15,Itgb1
Choroid Plexus,astrocytes,0.0,Adam15,Itgb1
Endothelial,astrocytes,0.0,Adam15,Itgb1
Ependymal,astrocytes,0.0,Adam15,Itgb1
Excitatory neuron,astrocytes,0.0,Adam15,Itgb1
Interneuron,astrocytes,0.0,Adam15,Itgb1
L2-L3-eNeuron,astrocytes,7.467457699152233e-07,Adam15,Itgb1
L4-eNeuron,astrocytes,0.0,Adam15,Itgb1
L5-eNeuron,astrocytes,0.00010198115133080997,Adam15,Itgb1
L6-eNeuron,astrocytes,1.8300574245293824e-05,Adam15,Itgb1
Lhx6-iNeuron,astrocytes,0.0,Adam15,Itgb1
Microglia,astrocytes,0.0,Adam15,Itgb1
Neural Stem,astrocytes,0.0,Adam15,Itgb1
Neuroblast,astrocytes,0.0,Adam15,Itgb1
OPC,astrocytes,7.09453644960825e-06,Adam15,Itgb1
