Sender,Receiver,Ligand,Receptor,LRscore
astrocytes,Adarb2-iNeuron,LGI4,ADAM11,2.4589144373515e-4
astrocytes,L2-L3-eNeuron,LGI4,ADAM11,7.1221799993923e-4
astrocytes,L4-eNeuron,LGI4,ADAM11,3.9735709903136e-4
astrocytes,L6-eNeuron,LGI4,ADAM11,0.00117578235614038
microglia,astrocytes,MFNG,NOTCH1,0.0019817227957202
microglia,endothelial,MFNG,NOTCH1,1.4428531394326e-4
microglia,mural,MFNG,NOTCH1,0.00132499474839047
mural,astrocytes,MFNG,NOTCH1,8.1230932599521e-4
mural,endothelial,MFNG,NOTCH1,3.861768430166835e-5
OPC,Adarb2-iNeuron,NFASC,CNTNAP1,0.00318424612303959
OPC,L2-L3-eNeuron,NFASC,CNTNAP1,1.2058130567041e-4
OPC,L4-eNeuron,NFASC,CNTNAP1,1.5653438313256e-4
OPC,L6-eNeuron,NFASC,CNTNAP1,0.00241786669752249
OPC,Lhx6-iNeuron,NFASC,CNTNAP1,7.7769489331834e-4
Olig,Adarb2-iNeuron,NFASC,CNTNAP1,4.380076786834e-4
Olig,L2-L3-eNeuron,NFASC,CNTNAP1,2.2029647220469e-4
Olig,L4-eNeuron,NFASC,CNTNAP1,1.6758419463014e-4
Olig,L6-eNeuron,NFASC,CNTNAP1,0.00284995530189615
Olig,Lhx6-iNeuron,NFASC,CNTNAP1,9.7199050773216e-4
endothelial,mural,NID1,ITGB1,0.00136533069902095
Olig,L2-L3-eNeuron,OMG,LINGO1,7.504794086846875e-5
Olig,L4-eNeuron,OMG,LINGO1,1.519469609274309e-7
Olig,L6-eNeuron,OMG,LINGO1,0.00127686172453623
Olig,OPC,OMG,LINGO1,0.0022179602236351
Olig,astrocytes,OMG,LINGO1,3.108849072982873e-5
Olig,L2-L3-eNeuron,OMG,RTN4R,7.201415737785115e-5
Olig,L4-eNeuron,OMG,RTN4R,7.77174988768167e-8
Olig,microglia,OMG,TNFRSF1B,7.594589163948716e-5
microglia,L2-L3-eNeuron,OMG,LINGO1,9.0100896127109e-4
microglia,L4-eNeuron,OMG,LINGO1,6.835146854172323e-5
microglia,L6-eNeuron,OMG,LINGO1,4.7493472837435e-4
microglia,OPC,OMG,LINGO1,0.00112278040251077
microglia,astrocytes,OMG,LINGO1,2.6256792729871e-4
microglia,L2-L3-eNeuron,OMG,RTN4R,0.00108783529886924
microglia,L4-eNeuron,OMG,RTN4R,5.779053990843888e-5
endothelial,L2-L3-eNeuron,PDGFB,LRP1,4.3893706352964e-4
endothelial,L4-eNeuron,PDGFB,LRP1,4.2913042951312e-4
endothelial,L6-eNeuron,PDGFB,LRP1,4.4108587735143e-4
endothelial,astrocytes,PDGFB,LRP1,0.001080580615689
endothelial,mural,PDGFB,LRP1,3.322964092798966e-5
