ligand,receptor,combo,mean_score,median_score,max_score,sum_score,sd_score,ligand_mean_expr,receptor_mean_expr
TFF3__Malignant,CD81__Macrophage,TFF3__Malignant|CD81__Macrophage,20.92899685065086,0,905.4883512411267,79488.33003877198,84.88639489303328,28.32932165010647,1.0129718986130358
FN1__Stroma,CD74__Macrophage,FN1__Stroma|CD74__Macrophage,20.36897112947042,0,983.5124341937939,77361.35234972865,82.51352946356832,3.791117473611257,7.736225637451514
MIF__Malignant,IL6ST__Stroma,MIF__Malignant|IL6ST__Stroma,20.16340263273628,0,591.5528627134694,76580.6031991324,61.80508921556909,43.70585223720301,0.7118768139545881
APOE__Macrophage,GFRA1__Malignant,APOE__Macrophage|GFRA1__Malignant,20.085332986346174,9.15788235767358,223.56220355055657,76284.09468214276,28.18054162177548,6.424318242558926,4.700373245551201
B2M__Malignant,CD9__Macrophage,B2M__Malignant|CD9__Macrophage,19.814082544658262,0,1044.6824235944232,75253.88550461209,87.68362509020534,53.28807480900779,0.48731400001282016
APOE__Macrophage,SDC1__Malignant,APOE__Macrophage|SDC1__Malignant,19.71810499912076,10.938312757537107,223.95805897709224,74889.36278666065,26.011864504994843,6.424318242558926,4.235502491751155
FN1__Stroma,IL6ST__Malignant,FN1__Stroma|IL6ST__Malignant,19.281520554837773,10.558922054277678,208.47388316458745,73231.21506727386,25.493885343579187,3.791117473611257,7.972520223468345
HLA-C__Malignant,CD81__Stroma,HLA-C__Malignant|CD81__Stroma,19.18008083734984,0,682.8796432676903,72845.9470202547,59.13794937932667,20.50116626115124,1.4535856479969007
B2M__Malignant,ENO1__Macrophage,B2M__Malignant|ENO1__Macrophage,18.812593587015193,0,854.7606050107511,71450.23044348371,77.18833351640907,53.28807480900779,0.47740155925959393
TFF3__Malignant,CD63__Macrophage,TFF3__Malignant|CD63__Macrophage,18.619764931959416,0,929.9106488930639,70717.86721158186,78.96829474505226,28.32932165010647,0.8955163413277767
APOE__Macrophage,FLOT1__Malignant,APOE__Macrophage|FLOT1__Malignant,18.525410767874433,11.909101701935771,191.6755177563064,70359.5100963871,22.309365068389546,6.424318242558926,3.981715710246971
HLA-B__Malignant,IL6ST__Stroma,HLA-B__Malignant|IL6ST__Stroma,18.344068617112963,0,700.5092797887621,69670.77260779504,57.432586024173695,40.37302955570916,0.7118768139545881
PSAP__Macrophage,ERBB2__Malignant,PSAP__Macrophage|ERBB2__Malignant,17.710319598790296,11.572342024917056,136.24679779587888,67263.79383620554,20.63463120221456,4.120553171189394,5.9725087975793345
HLA-B__Malignant,TYROBP__Macrophage,HLA-B__Malignant|TYROBP__Macrophage,17.52328668855721,0,960.5674912591589,66553.44284314029,72.72361110179472,40.37302955570916,0.5806380080919443
MIF__Malignant,TYROBP__Macrophage,MIF__Malignant|TYROBP__Macrophage,17.447029295977018,0,1032.1633865010201,66263.8172661207,73.16905669405766,43.70585223720301,0.5806380080919443
HLA-C__Malignant,CD74__Stroma,HLA-C__Malignant|CD74__Stroma,17.417291660437243,0,1076.344912095275,66150.87372634065,71.03733980509283,20.50116626115124,1.3465733596013119
APOE__Macrophage,PLXNB2__Malignant,APOE__Macrophage|PLXNB2__Malignant,17.12876815856977,11.703352107799883,166.18436181445944,65055.06146624798,19.49235676162362,6.424318242558926,3.7356219687063432
CD24__Malignant,CD81__Stroma,CD24__Malignant|CD81__Stroma,17.087041592492007,0,606.8824227580042,64896.583968284634,53.61726486259005,17.664792125884766,1.4535856479969007
COPA__Malignant,CD74__Macrophage,COPA__Malignant|CD74__Macrophage,17.031732369661885,0,659.0684065936163,64686.51953997584,65.54972561230082,3.070091370238728,7.736225637451514
APOE__Macrophage,IFITM1__Malignant,APOE__Macrophage|IFITM1__Malignant,16.902898513471744,6.017312558947335,352.32096506163447,64197.20855416568,28.415506051776774,6.424318242558926,3.5726933647484946
PSAP__Macrophage,ENO1__Malignant,PSAP__Macrophage|ENO1__Malignant,16.668811514422387,11.904838145286181,165.82486019622684,63308.14613177622,19.16831376583367,4.120553171189394,5.961806937399298
HLA-DRA__Macrophage,ERBB2__Malignant,HLA-DRA__Macrophage|ERBB2__Malignant,16.216015473599498,10.64220116580611,126.2195676984104,61588.42676873089,19.061613371850594,3.765344818249655,5.9725087975793345
LYZ__Macrophage,CD9__Malignant,LYZ__Macrophage|CD9__Malignant,16.05193215534522,11.651574336775163,114.1863098276159,60965.23832600114,17.737792172632016,2.1692082031036057,10.56470171391948
APOE__Macrophage,AMFR__Malignant,APOE__Macrophage|AMFR__Malignant,15.872599798356296,9.19734702446178,145.2558031832604,60284.13403415721,19.888281345783867,6.424318242558926,3.4457402146458658
HLA-C__Malignant,CD81__Macrophage,HLA-C__Malignant|CD81__Macrophage,15.829090106821065,0,677.4529453429394,60118.8842257064,64.49167013224096,20.50116626115124,1.0129718986130358
FN1__Stroma,ENO1__Malignant,FN1__Stroma|ENO1__Malignant,15.742745471727968,9.28747996206165,247.13307945502376,59790.94730162282,21.94333374725346,3.791117473611257,5.961806937399298
PSAP__Macrophage,CD151__Malignant,PSAP__Macrophage|CD151__Malignant,15.65897964066486,11.217721817958848,96.75872255044548,59472.80467524514,16.67497419287157,4.120553171189394,5.51159957558688
