Sender,Receiver,Ligand,Receptor,LRscore
Tcell,Bcell,SLIT2,SDC1,0
Endothelial,Macrophage,SNCA,LAG3,2.0082650261527625e-4
Malignant,Stroma,SORBS1,ITGA1,7.059002722744737e-4
Malignant,Stroma,SORBS1,ITGB5,0.006427166716738413
Malignant,Stroma,SPN,SIGLEC1,0
Malignant,Stroma,TFF3,CXCR4,0
Endothelial,Macrophage,TFPI,SDC4,0.013093017338862383
Tcell,Bcell,TF,TFRC,0
Malignant,Stroma,TGFA,ERBB3,0
Tcell,Bcell,TGFB1,ACVR1B,0
Tcell,Bcell,TGFB1,ACVRL1,0
Tcell,Bcell,TGFB1,ENG,0
Tcell,Bcell,TGFB1,SDC2,0
Tcell,Bcell,TGFB1,TGFBR1,0
Tcell,Bcell,TGFB1,TGFBR2,0
Malignant,Stroma,TGM2,ITGB1,0
Malignant,Stroma,TGM2,SDC4,0
Malignant,Stroma,THBS3,CD47,0
Malignant,Stroma,THBS3,ITGAV,0.035551800422546076
Malignant,Stroma,THBS3,ITGB1,0.07533459395315499
Malignant,Stroma,THBS3,SDC1,0.0758604925303241
Malignant,Stroma,THBS3,SDC4,0
Tcell,Bcell,TIGIT,PVR,0
Bcell,Macrophage,TNFSF14,TNFRSF6B,3.91565062689709e-4
Tcell,Bcell,TNFSF14,LTBR,0
Bcell,Macrophage,TNFSF15,TNFRSF25,2.0555397152482096e-4
Bcell,Macrophage,TNFSF15,TNFRSF6B,0
Malignant,Stroma,TNFSF15,TNFRSF6B,0
Tcell,Bcell,TNFSF15,TNFRSF25,0
Tcell,Bcell,TNF,LTBR,0
Bcell,Macrophage,TNN,ITGB1,0
Bcell,Macrophage,TNN,SDC1,0
Endothelial,Macrophage,TNXB,ITGAV,0.01031980232484465
Endothelial,Macrophage,TNXB,ITGB1,0.0232088286426084
Endothelial,Macrophage,TNXB,SDC1,0.022807186938423096
Endothelial,Macrophage,TNXB,SDC4,0.027214354519990724
Malignant,Stroma,UBA52,NOTCH1,0
Bcell,Macrophage,VCAM1,ITGB1,0.017759680221688705
Bcell,Macrophage,VCAM1,ITGB7,0.0018306207322179545
Endothelial,Macrophage,VCAM1,ITGB1,0.01227387894606245
Endothelial,Macrophage,VCAM1,ITGB2,0.013443334626392855
Endothelial,Macrophage,VCAM1,ITGB7,0.0012174317574109611
Tcell,Bcell,VCAM1,ITGB1,0
Tcell,Bcell,VCAM1,ITGB2,0
Tcell,Bcell,VCAM1,ITGB7,0
Malignant,Stroma,VEGFA,ITGAV,0.03929508293332612
Malignant,Stroma,VEGFA,ITGB1,0.08287968584621479
Malignant,Stroma,VEGFA,NRP1,0.017994232855879415
Malignant,Stroma,VEGFA,NRP2,0
Malignant,Stroma,VEGFA,SIRPA,0
Tcell,Bcell,VEGFC,ITGB1,0
Endothelial,Macrophage,VWF,ITGAV,0.03499011975018256
Malignant,Stroma,WNT3,FZD1,0
Malignant,Stroma,WNT3,FZD2,0
Malignant,Endothelial,WNT3,LRP5,8.725841817568132e-4
Malignant,Stroma,WNT3,LRP5,0
Malignant,Stroma,WNT5A,FZD1,0
Malignant,Stroma,WNT5A,FZD2,0
Malignant,Endothelial,WNT5A,LRP5,0
Malignant,Stroma,WNT5A,LRP5,0
Malignant,Stroma,WNT5A,ROR2,0
Tcell,Bcell,WNT5A,ROR2,0
Malignant,Stroma,WNT7B,FZD1,0
Malignant,Stroma,WNT7B,FZD2,0
Malignant,Endothelial,WNT7B,LRP5,3.9147441415499025e-4
Malignant,Stroma,WNT7B,LRP5,0
Malignant,Stroma,YBX1,NOTCH1,0
Malignant,Stroma,ZG16B,CXCR4,0
Malignant,Stroma,MIF,CD74,0.4970754743228354
Macrophage,Malignant,ANXA2,ADORA2A,0.10789382441252374
Macrophage,Malignant,ANXA2,AMFR,0.12267069913778735
Macrophage,Malignant,ANXA2,ATP6AP2,0.12222776197114052
Macrophage,Malignant,ANXA2,BAMBI,0.19529558728118884
Macrophage,Stroma,ANXA2,CAP1,0
Macrophage,Malignant,ANXA2,CD151,0.15439223177959707
Macrophage,Malignant,ANXA2,CD163,0
Macrophage,Malignant,ANXA2,CD44,0.09471808971727666
Macrophage,Malignant,ANXA2,CD47,0.08643110746368704
Macrophage,Malignant,ANXA2,CD55,0.12733502500270613
Macrophage,Malignant,ANXA2,CD63,0.1911222959173812
Macrophage,Bcell,ANXA2,CD74,0.08911157996853715
Macrophage,Malignant,ANXA2,CD74,0
Macrophage,Stroma,ANXA2,CD74,0.2425956442342869
Macrophage,Stroma,ANXA2,CD81,0.18041237588611525
Macrophage,Malignant,ANXA2,CD9,0.18781439227290894
Macrophage,Malignant,ANXA2,ENO1,0.15814204735375761
Macrophage,Malignant,ANXA2,ERBB2,0.1556784506796672
Macrophage,Malignant,ANXA2,FLOT1,0.140737632406884
Macrophage,Stroma,ANXA2,FLOT1,0
Macrophage,Malignant,ANXA2,FPR3,0
Macrophage,Malignant,ANXA2,GFRA1,0.13592867896290806
Macrophage,Malignant,ANXA2,IFITM1,0.13020098283009743
Macrophage,Malignant,ANXA2,IL13RA1,0.07187341041684726
Macrophage,Malignant,ANXA2,IL6ST,0.17595213458939873
Macrophage,Stroma,ANXA2,IL6ST,0
Macrophage,Malignant,ANXA2,ITGB5,0.11779482471756038
Macrophage,Stroma,ANXA2,ITGB5,0.10869816781045548
Macrophage,Stroma,ANXA2,LAMP2,0
Macrophage,Malignant,ANXA2,LDLR,0.029629640907268325
Macrophage,Malignant,ANXA2,MAGED1,0.08757456631913892
Macrophage,Malignant,ANXA2,MRC2,0
Macrophage,Malignant,ANXA2,PLXNA3,0.045856008115926404
Macrophage,Malignant,ANXA2,PLXNB2,0.13717091180957586
Macrophage,Malignant,ANXA2,PRLR,0.11241615755976365
Macrophage,Malignant,ANXA2,SDC1,0.1357534633781998
Macrophage,Malignant,ANXA2,TREM2,0.01968277808680133
Macrophage,Malignant,ANXA2,TYROBP,0
Macrophage,Malignant,APOE,ADORA2A,0.21173616957711683
Macrophage,Malignant,APOE,AMFR,0.23548773014613253
Macrophage,Malignant,APOE,ATP6AP2,0.23479083970758197
Macrophage,Malignant,APOE,BAMBI,0.3386275702841213
Macrophage,Stroma,APOE,CAP1,0.181642998656869
Macrophage,Malignant,APOE,CD151,0.28313438636542265
Macrophage,Malignant,APOE,CD163,0.06776343846019531
Macrophage,Malignant,APOE,CD44,0.18964742760012226
Macrophage,Malignant,APOE,CD47,0.17528986209423036
Macrophage,Malignant,APOE,CD55,0.24277138910726817
Macrophage,Malignant,APOE,CD63,0.3332443313339867
Macrophage,Bcell,APOE,CD74,0.13962959018077714
Macrophage,Malignant,APOE,CD74,0.39279366378128594
Macrophage,Stroma,APOE,CD74,0.3916021706167358
Macrophage,Stroma,APOE,CD81,0.3164756519965634
Macrophage,Malignant,APOE,CD9,0.3289344196729449
Macrophage,Malignant,APOE,ENO1,0.28848667005703577
Macrophage,Malignant,APOE,ERBB2,0.28497662739693735
Macrophage,Malignant,APOE,FLOT1,0.2631571794866007
Macrophage,Stroma,APOE,FLOT1,0.23665527427652971
Macrophage,Malignant,APOE,FPR3,0.044588558664608785
Macrophage,Malignant,APOE,GFRA1,0.2559335521407498
Macrophage,Malignant,APOE,IFITM1,0.24719760992044085
Macrophage,Malignant,APOE,IL13RA1,0.1491492439727449
Macrophage,Malignant,APOE,IL6ST,0.3131582775128006
Macrophage,Stroma,APOE,IL6ST,0.27371641379869915
Macrophage,Malignant,APOE,ITGB5,0.22776579931656427
Macrophage,Stroma,APOE,ITGB5,0.2118611428652613
Macrophage,Stroma,APOE,LAMP2,0.18742589534813525
Macrophage,Malignant,APOE,LDLR,0.06592728612645607
Macrophage,Malignant,APOE,MAGED1,0.1772929704159154
Macrophage,Malignant,APOE,MRC2,0.07744321351990197
Macrophage,Malignant,APOE,PLXNA3,0.0992774680855084
Macrophage,Malignant,APOE,PLXNB2,0.25780914721630394
Macrophage,Malignant,APOE,PRLR,0.21911676743764527
Macrophage,Malignant,APOE,SDC1,0.2556684588440409
Macrophage,Malignant,APOE,TREM2,0.04455274964543608
Macrophage,Malignant,APOE,TYROBP,0.19809114791963214
Malignant,Stroma,ARF1,CAP1,0.16945906012850334
Malignant,Macrophage,ARF1,CD163,0.10677021318280895
Malignant,Macrophage,ARF1,CD63,0
Malignant,Bcell,ARF1,CD74,0.1244480918653515
Malignant,Macrophage,ARF1,CD74,0.34429924926111416
Malignant,Stroma,ARF1,CD74,0.4097391092791042
Malignant,Macrophage,ARF1,CD81,0.2525406135566551
Malignant,Stroma,ARF1,CD81,0.3173323006959844
Malignant,Macrophage,ARF1,CD9,0
Malignant,Macrophage,ARF1,ENO1,0
Malignant,Macrophage,ARF1,FLOT1,0
Malignant,Stroma,ARF1,FLOT1,0
Malignant,Macrophage,ARF1,IL2RG,0.0835099880645378
Malignant,Stroma,ARF1,IL6ST,0
Malignant,Macrophage,ARF1,ITGB2,0.17224327168824835
Malignant,Stroma,ARF1,ITGB5,0.20078193762172625
Malignant,Stroma,ARF1,LAMP2,0
Malignant,Macrophage,ARF1,TYROBP,0.2029095738701424
Malignant,Stroma,AZGP1,CAP1,0.144774798587492
Malignant,Macrophage,AZGP1,CD163,0.09059522776458881
Malignant,Macrophage,AZGP1,CD63,0
Malignant,Bcell,AZGP1,CD74,0.11217241060524814
Malignant,Macrophage,AZGP1,CD74,0.30956235870213145
Malignant,Stroma,AZGP1,CD74,0.36687833625213434
Malignant,Macrophage,AZGP1,CD81,0.2219481914768254
Malignant,Stroma,AZGP1,CD81,0.2789812783049723
Malignant,Macrophage,AZGP1,CD9,0
Malignant,Macrophage,AZGP1,ENO1,0
Malignant,Macrophage,AZGP1,FLOT1,0
Malignant,Stroma,AZGP1,FLOT1,0
Malignant,Macrophage,AZGP1,IL2RG,0.07047039254935077
Malignant,Stroma,AZGP1,IL6ST,0
Malignant,Macrophage,AZGP1,ITGB2,0.14845251626094755
Malignant,Stroma,AZGP1,ITGB5,0.1725666130091541
Malignant,Stroma,AZGP1,LAMP2,0
Malignant,Macrophage,AZGP1,TYROBP,0.1761834291619365
Malignant,Stroma,B2M,CAP1,0
Malignant,Macrophage,B2M,CD163,0.15428935888544817
Malignant,Macrophage,B2M,CD63,0
Malignant,Bcell,B2M,CD74,0.15340836593554533
Malignant,Macrophage,B2M,CD74,0.42694223186553104
Malignant,Stroma,B2M,CD74,0.5131529998057676
Malignant,Macrophage,B2M,CD81,0
Malignant,Stroma,B2M,CD81,0
Malignant,Macrophage,B2M,CD9,0
Malignant,Macrophage,B2M,ENO1,0
Malignant,Macrophage,B2M,FLOT1,0
Malignant,Stroma,B2M,FLOT1,0
Malignant,Macrophage,B2M,IL2RG,0.12266298779011607
Malignant,Stroma,B2M,IL6ST,0
Malignant,Macrophage,B2M,ITGB2,0.23805264469284318
Malignant,Stroma,B2M,ITGB5,0
Malignant,Stroma,B2M,LAMP2,0
Malignant,Macrophage,B2M,TYROBP,0.2748248897893368
Malignant,Stroma,BST2,CAP1,0
Malignant,Macrophage,BST2,CD163,0.09549392116437123
Malignant,Macrophage,BST2,CD63,0
Malignant,Bcell,BST2,CD74,0.11604862790285464
Malignant,Macrophage,BST2,CD74,0.3205122613216778
Malignant,Stroma,BST2,CD74,0.38035082042137525
Malignant,Macrophage,BST2,CD81,0
Malignant,Stroma,BST2,CD81,0.2908853421438199
Malignant,Macrophage,BST2,CD9,0
Malignant,Macrophage,BST2,ENO1,0
Malignant,Macrophage,BST2,FLOT1,0
Malignant,Stroma,BST2,FLOT1,0
Malignant,Macrophage,BST2,IL2RG,0.07440439888133614
Malignant,Stroma,BST2,IL6ST,0
Malignant,Macrophage,BST2,ITGB2,0.15573646749945122
Malignant,Stroma,BST2,ITGB5,0
Malignant,Stroma,BST2,LAMP2,0
Malignant,Macrophage,BST2,TYROBP,0.1844082186955907
Macrophage,Malignant,C1QA,ADORA2A,0.14883179401638533
Macrophage,Malignant,C1QA,AMFR,0.16774189406797657
Macrophage,Malignant,C1QA,ATP6AP2,0.16717985266725932
Macrophage,Malignant,C1QA,BAMBI,0.2560901642069323
Macrophage,Stroma,C1QA,CAP1,0.12600933272093892
Macrophage,Malignant,C1QA,CD151,0.20724428540410383
Macrophage,Malignant,C1QA,CD163,0.04410190983790192
