Sender,Receiver,Ligand,Receptor,LRscore,all
Endothelial,Macrophage,COL4A2,ITGB1,11.007129679437632,Endothelial_COL4A2_Macrophage_ITGB1
Stroma,Malignant,FN1,SDC1,20.303851246636032,Stroma_FN1_Malignant_SDC1
Malignant,Stroma,LAMA5,SDC1,11.216254232093222,Malignant_LAMA5_Stroma_SDC1
Macrophage,Malignant,PSAP,TYROBP,20.186700817423006,Macrophage_PSAP_Malignant_TYROBP
Malignant,Macrophage,IGFBP4,ITGB2,13.823449115021294,Malignant_IGFBP4_Macrophage_ITGB2
Macrophage,Malignant,C1QA,SDC1,15.412250709460228,Macrophage_C1QA_Malignant_SDC1
Macrophage,Malignant,ITGB2,GFRA1,10.038225292647484,Macrophage_ITGB2_Malignant_GFRA1
Malignant,Macrophage,HLA-A,TYROBP,22.071481708224642,Malignant_HLA-A_Macrophage_TYROBP
Stroma,Malignant,LTBP1,BAMBI,4.9498542421030445,Stroma_LTBP1_Malignant_BAMBI
Malignant,Stroma,LAMA5,ITGAV,5.964015447920623,Malignant_LAMA5_Stroma_ITGAV
Endothelial,Macrophage,COL4A2,ITGAV,5.651968140249983,Endothelial_COL4A2_Macrophage_ITGAV
Malignant,Macrophage,JAM3,CD81,4.925559846778304,Malignant_JAM3_Macrophage_CD81
Malignant,Stroma,JAM3,CD81,5.238722043050584,Malignant_JAM3_Stroma_CD81
Malignant,Stroma,TNFSF10,ITGB5,14.4871138796601,Malignant_TNFSF10_Stroma_ITGB5
Stroma,Malignant,FN1,IL13RA1,12.556701203375189,Stroma_FN1_Malignant_IL13RA1
Malignant,Stroma,SEMA4A,PLXND1,2.7259750158611,Malignant_SEMA4A_Stroma_PLXND1
Malignant,Macrophage,ARF1,CD9,21.82471902832531,Malignant_ARF1_Macrophage_CD9
Malignant,Macrophage,CD24,CD9,23.52790256535231,Malignant_CD24_Macrophage_CD9
Stroma,Malignant,THBS1,ITGB5,11.586639189792145,Stroma_THBS1_Malignant_ITGB5
Macrophage,Malignant,HLA-DRA,PRLR,17.293962576335304,Macrophage_HLA-DRA_Malignant_PRLR
Malignant,Stroma,PSEN1,NOTCH2,4.364059433341928,Malignant_PSEN1_Stroma_NOTCH2
Macrophage,Malignant,ANXA2,FPR3,5.128179794755026,Macrophage_ANXA2_Malignant_FPR3
Macrophage,Malignant,ANXA2,IFITM1,12.973363281968343,Macrophage_ANXA2_Malignant_IFITM1
Malignant,Macrophage,JAM3,CD63,4.897199407884797,Malignant_JAM3_Macrophage_CD63
Malignant,Stroma,ADAM9,ITGB1,5.606347916238473,Malignant_ADAM9_Stroma_ITGB1
Malignant,Macrophage,JAM3,FLOT1,3.8391027944888525,Malignant_JAM3_Macrophage_FLOT1
Malignant,Stroma,JAM3,FLOT1,3.9092319009809824,Malignant_JAM3_Stroma_FLOT1
Macrophage,Malignant,C1QB,ADORA2A,13.249903681629887,Macrophage_C1QB_Malignant_ADORA2A
Stroma,Macrophage,TIMP3,ITGB2,11.184781978309163,Stroma_TIMP3_Macrophage_ITGB2
Malignant,Stroma,NAMPT,ITGB1,6.680412147839402,Malignant_NAMPT_Stroma_ITGB1
Macrophage,Malignant,PSAP,IFITM1,20.27887487865385,Macrophage_PSAP_Malignant_IFITM1
Malignant,Stroma,PSEN1,NOTCH3,5.693308311048219,Malignant_PSEN1_Stroma_NOTCH3
