pair,ligand_gene,receptor_gene,sender_cluster,receiver_cluster,n_sender,n_receiver,mean_score_recv
SFRP1__Malignant|CD74__Stroma,SFRP1,CD74,Malignant,Stroma,2624,768,0.0058039026
NPNT__Malignant|TNFRSF6B__Stroma,NPNT,TNFRSF6B,Malignant,Stroma,2624,768,0.0058038617
COPA__Malignant|CAV1__Endothelial,COPA,CAV1,Malignant,Endothelial,2624,62,0.0058021997
LAMA3__Malignant|FLOT1__Macrophage,LAMA3,FLOT1,Malignant,Macrophage,2624,315,0.005791198
SEMA3C__Malignant|SDC3__Stroma,SEMA3C,SDC3,Malignant,Stroma,2624,768,0.005790512
PTDSS1__Malignant|RGMB__Stroma,PTDSS1,RGMB,Malignant,Stroma,2624,768,0.0057892143
LRPAP1__Malignant|S1PR1__Stroma,LRPAP1,S1PR1,Malignant,Stroma,2624,768,0.005784718
ICAM1__Endothelial|FLOT1__Malignant,ICAM1,FLOT1,Endothelial,Malignant,62,2624,0.005784566
LTBP3__Malignant|CCR5__Macrophage,LTBP3,CCR5,Malignant,Macrophage,2624,315,0.0057787206
JAM3__Endothelial|IL6ST__Malignant,JAM3,IL6ST,Endothelial,Malignant,62,2624,0.005774486
CD44__Malignant|SIGLEC1__Stroma,CD44,SIGLEC1,Malignant,Stroma,2624,768,0.0057735885
CD14__Bcell|GFRA1__Malignant,CD14,GFRA1,Bcell,Malignant,20,2624,0.005772058
THBS3__Malignant|F2RL2__Stroma,THBS3,F2RL2,Malignant,Stroma,2624,768,0.0057705306
VEGFA__Malignant|PVR__Stroma,VEGFA,PVR,Malignant,Stroma,2624,768,0.0057664854
SEMA3E__Malignant|CD81__Macrophage,SEMA3E,CD81,Malignant,Macrophage,2624,315,0.0057658167
PTDSS1__Malignant|ITGAM__Macrophage,PTDSS1,ITGAM,Malignant,Macrophage,2624,315,0.005763122
JAG2__Malignant|CAV1__Stroma,JAG2,CAV1,Malignant,Stroma,2624,768,0.0057629473
JAM3__Endothelial|CD63__Malignant,JAM3,CD63,Endothelial,Malignant,62,2624,0.0057607754
ADAM9__Malignant|APP__Macrophage,ADAM9,APP,Malignant,Macrophage,2624,315,0.0057587777
SEMA3C__Malignant|AR__Stroma,SEMA3C,AR,Malignant,Stroma,2624,768,0.0057517854
COL7A1__Malignant|PTPRA__Stroma,COL7A1,PTPRA,Malignant,Stroma,2624,768,0.0057514673
COL7A1__Malignant|HLA-F__Stroma,COL7A1,HLA-F,Malignant,Stroma,2624,768,0.0057487735
LYZ__Macrophage|ACVR2A__Stroma,LYZ,ACVR2A,Macrophage,Stroma,315,768,0.005748518
COL7A1__Malignant|ITGA5__Stroma,COL7A1,ITGA5,Malignant,Stroma,2624,768,0.0057468363
SEMA4C__Malignant|LAMA4__Stroma,SEMA4C,LAMA4,Malignant,Stroma,2624,768,0.00574579
ICAM3__Malignant|NCSTN__Stroma,ICAM3,NCSTN,Malignant,Stroma,2624,768,0.0057453886
ICAM3__Malignant|AMFR__Stroma,ICAM3,AMFR,Malignant,Stroma,2624,768,0.0057448386
PTDSS1__Malignant|SORT1__Stroma,PTDSS1,SORT1,Malignant,Stroma,2624,768,0.005740448
LAMB3__Malignant|TYROBP__Macrophage,LAMB3,TYROBP,Malignant,Macrophage,2624,315,0.0057396875
JAM2__Endothelial|GFRA1__Malignant,JAM2,GFRA1,Endothelial,Malignant,62,2624,0.0057390705
RTN4__Malignant|S1PR1__Macrophage,RTN4,S1PR1,Malignant,Macrophage,2624,315,0.005730233
HSPA1A__Malignant|ITGAL__Bcell,HSPA1A,ITGAL,Malignant,Bcell,2624,20,0.0057269908
SIRPG__Malignant|CD81__Macrophage,SIRPG,CD81,Malignant,Macrophage,2624,315,0.00572637
TGM2__Malignant|RGMB__Stroma,TGM2,RGMB,Malignant,Stroma,2624,768,0.0057258457
LTB__Tcell|PRLR__Malignant,LTB,PRLR,Tcell,Malignant,9,2624,0.0057247854
LGALS9__Bcell|SDC1__Malignant,LGALS9,SDC1,Bcell,Malignant,20,2624,0.005719464
JAM3__Endothelial|CD74__Macrophage,JAM3,CD74,Endothelial,Macrophage,62,315,0.0057177474
SEMA4A__Malignant|ITGAV__Stroma,SEMA4A,ITGAV,Malignant,Stroma,2624,768,0.005717708
CCL5__Malignant|FZD2__Stroma,CCL5,FZD2,Malignant,Stroma,2624,768,0.0057150433
LAMA5__Malignant|NOTCH1__Stroma,LAMA5,NOTCH1,Malignant,Stroma,2624,768,0.0057092668
PSEN1__Malignant|FZD2__Stroma,PSEN1,FZD2,Malignant,Stroma,2624,768,0.005705318
CD47__Malignant|NRP2__Macrophage,CD47,NRP2,Malignant,Macrophage,2624,315,0.005701416
NPNT__Malignant|FZD2__Stroma,NPNT,FZD2,Malignant,Stroma,2624,768,0.0056992327
COPA__Malignant|TNFRSF6B__Macrophage,COPA,TNFRSF6B,Malignant,Macrophage,2624,315,0.005699121
THBS3__Malignant|TNFRSF6B__Stroma,THBS3,TNFRSF6B,Malignant,Stroma,2624,768,0.0056982986
SEMA3C__Malignant|NRP2__Stroma,SEMA3C,NRP2,Malignant,Stroma,2624,768,0.005693833
AZGP1__Malignant|CDH1__Endothelial,AZGP1,CDH1,Malignant,Endothelial,2624,62,0.0056928955
FARP2__Malignant|ITGAV__Stroma,FARP2,ITGAV,Malignant,Stroma,2624,768,0.005692483
SPN__Malignant|ITGB5__Stroma,SPN,ITGB5,Malignant,Stroma,2624,768,0.00569245
SEMA4C__Malignant|IL2RG__Macrophage,SEMA4C,IL2RG,Malignant,Macrophage,2624,315,0.0056918487
VWF__Endothelial|FLOT1__Macrophage,VWF,FLOT1,Endothelial,Macrophage,62,315,0.005684444
TNXB__Endothelial|IFITM1__Malignant,TNXB,IFITM1,Endothelial,Malignant,62,2624,0.005683948
TGM2__Malignant|ITGAM__Macrophage,TGM2,ITGAM,Malignant,Macrophage,2624,315,0.005683191
CALR__Malignant|TGFBR2__Bcell,CALR,TGFBR2,Malignant,Bcell,2624,20,0.0056823967
CD44__Malignant|VANGL1__Stroma,CD44,VANGL1,Malignant,Stroma,2624,768,0.00567958
NAMPT__Malignant|ITGA1__Stroma,NAMPT,ITGA1,Malignant,Stroma,2624,768,0.005677795
TGM2__Malignant|SORT1__Stroma,TGM2,SORT1,Malignant,Stroma,2624,768,0.0056775277
ROBO1__Malignant|SDC1__Stroma,ROBO1,SDC1,Malignant,Stroma,2624,768,0.005672758
COL9A2__Malignant|CD72__Macrophage,COL9A2,CD72,Malignant,Macrophage,2624,315,0.005672082
HLA-A__Malignant|ITGA6__Bcell,HLA-A,ITGA6,Malignant,Bcell,2624,20,0.0056711663
LTBP3__Malignant|ROR2__Stroma,LTBP3,ROR2,Malignant,Stroma,2624,768,0.0056700027
SORBS1__Malignant|PLXNB2__Stroma,SORBS1,PLXNB2,Malignant,Stroma,2624,768,0.0056678574
CD44__Malignant|NRP2__Macrophage,CD44,NRP2,Malignant,Macrophage,2624,315,0.00566436
CD44__Malignant|SIRPA__Stroma,CD44,SIRPA,Malignant,Stroma,2624,768,0.0056627896
JAM2__Endothelial|SDC1__Malignant,JAM2,SDC1,Endothelial,Malignant,62,2624,0.0056588114
EDN1__Malignant|IL6ST__Macrophage,EDN1,IL6ST,Malignant,Macrophage,2624,315,0.0056584678
ARF1__Malignant|TGFBR1__Bcell,ARF1,TGFBR1,Malignant,Bcell,2624,20,0.0056534056
SORBS1__Malignant|ITGB2__Macrophage,SORBS1,ITGB2,Malignant,Macrophage,2624,315,0.005651795
CD24__Malignant|TFRC__Bcell,CD24,TFRC,Malignant,Bcell,2624,20,0.005650251
CCL5__Malignant|PLXNA1__Macrophage,CCL5,PLXNA1,Malignant,Macrophage,2624,315,0.00564998
VEGFA__Malignant|ROR2__Stroma,VEGFA,ROR2,Malignant,Stroma,2624,768,0.0056479815
GPC3__Malignant|ITGAL__Macrophage,GPC3,ITGAL,Malignant,Macrophage,2624,315,0.0056473524
LTBP3__Malignant|S1PR2__Stroma,LTBP3,S1PR2,Malignant,Stroma,2624,768,0.005645866
ANXA2__Macrophage|NRP1__Stroma,ANXA2,NRP1,Macrophage,Stroma,315,768,0.005641426
SEMA5A__Malignant|CD74__Bcell,SEMA5A,CD74,Malignant,Bcell,2624,20,0.005631028
CD47__Malignant|VANGL1__Stroma,CD47,VANGL1,Malignant,Stroma,2624,768,0.0056306887
ICAM3__Malignant|CD47__Stroma,ICAM3,CD47,Malignant,Stroma,2624,768,0.0056240815
EFNA1__Malignant|LRP5__Endothelial,EFNA1,LRP5,Malignant,Endothelial,2624,62,0.0056194514
RTN4__Malignant|CXCR4__Stroma,RTN4,CXCR4,Malignant,Stroma,2624,768,0.0056191897
SEMA4C__Malignant|APP__Macrophage,SEMA4C,APP,Malignant,Macrophage,2624,315,0.0056165876
TFF3__Malignant|MRC1__Bcell,TFF3,MRC1,Malignant,Bcell,2624,20,0.0056162262
SEMA4A__Malignant|CD163__Macrophage,SEMA4A,CD163,Malignant,Macrophage,2624,315,0.0056159073
DAG1__Malignant|CAV1__Endothelial,DAG1,CAV1,Malignant,Endothelial,2624,62,0.0056139673
COL9A2__Malignant|IL27RA__Macrophage,COL9A2,IL27RA,Malignant,Macrophage,2624,315,0.0056138025
LRPAP1__Malignant|ROBO1__Stroma,LRPAP1,ROBO1,Malignant,Stroma,2624,768,0.0056132684
LTF__Malignant|NPTN__Stroma,LTF,NPTN,Malignant,Stroma,2624,768,0.0056068357
WNT3__Malignant|LAMP2__Stroma,WNT3,LAMP2,Malignant,Stroma,2624,768,0.005595602
LAMA5__Malignant|ITGB7__Macrophage,LAMA5,ITGB7,Malignant,Macrophage,2624,315,0.005595583
CD44__Malignant|CD2__Stroma,CD44,CD2,Malignant,Stroma,2624,768,0.0055912533
JAM2__Endothelial|FLOT1__Malignant,JAM2,FLOT1,Endothelial,Malignant,62,2624,0.005590763
ADAM15__Malignant|SDC1__Bcell,ADAM15,SDC1,Malignant,Bcell,2624,20,0.005590053
ICAM3__Bcell|ERBB2__Malignant,ICAM3,ERBB2,Bcell,Malignant,20,2624,0.005588998
ADAM17__Malignant|ITGAV__Stroma,ADAM17,ITGAV,Malignant,Stroma,2624,768,0.00558796
