"Barcode","x","y","Cluster"
"cell_377",5989.77,-1259.8,"L6-eNeuron"
"cell_378",5971.07,-580.9,"L6-eNeuron"
"cell_379",5950.47,-1083.2,"L6-eNeuron"
"cell_380",5955.67,-1612.4,"endothelial"
"cell_381",5963.77,-748.67,"L6-eNeuron"
"cell_382",5923.57,-1758.6,"Lhx6-iNeuron"
"cell_383",5918.57,-894.31,"L6-eNeuron"
"cell_384",5909.47,-1354,"L6-eNeuron"
"cell_385",5858.87,-1227.8,"endothelial"
"cell_386",5850.27,-536.66,"L6-eNeuron"
"cell_387",5804.97,-1534.4,"L6-eNeuron"
"cell_388",5807.27,-784.88,"L6-eNeuron"
"cell_389",5798.97,-432.49,"L6-eNeuron"
"cell_390",5773.97,-1147.6,"L6-eNeuron"
"cell_391",5739.27,-303.16,"L6-eNeuron"
"cell_392",5693.07,-808.9,"L5-eNeuron"
"cell_393",5669.27,-1609.4,"L4-eNeuron"
"cell_394",5664.17,-1101.1,"Lhx6-iNeuron"
"cell_395",5647.17,-972.21,"L5-eNeuron"
"cell_396",5623.87,-1185.6,"L2-L3-eNeuron"
"cell_397",5615.97,-1413.4,"L5-eNeuron"
"cell_398",5614.07,-1297.3,"L5-eNeuron"
"cell_399",5605.77,-762.65,"endothelial"
"cell_400",5595.37,-430.62,"L6-eNeuron"
"cell_401",5576.57,-1702.9,"L5-eNeuron"
"cell_402",5568.87,-592.77,"L6-eNeuron"
"cell_403",5567.07,-1867,"L6-eNeuron"
"cell_404",5544.67,-1413.6,"mural"
"cell_405",5525.57,-1781.4,"L6-eNeuron"
"cell_406",5533.77,-1137.3,"L6-eNeuron"
"cell_407",5502.67,-422.92,"L5-eNeuron"
"cell_408",5495.17,-1050.7,"endothelial"
"cell_409",5479.57,-1219.8,"L6-eNeuron"
"cell_410",5454.17,-843.53,"Olig"
"cell_411",5444.27,-1895.4,"L2-L3-eNeuron"
"cell_412",5396.57,-447.82,"Lhx6-iNeuron"
"cell_413",5395.87,-538.71,"L6-eNeuron"
"cell_414",5386.37,-1185.9,"L6-eNeuron"
"cell_415",5359.97,-972.19,"L5-eNeuron"
"cell_416",5360.37,-325.14,"Lhx6-iNeuron"
"cell_417",5388.07,-1581.5,"L6-eNeuron"
"cell_418",5350.27,-1802.9,"L5-eNeuron"
"cell_419",5294.27,-1108.7,"L6-eNeuron"
"cell_420",6633.67,-1596.6,"L6-eNeuron"
"cell_421",6480.8,-1298.9,"L6-eNeuron"
"cell_422",6408.49,-1352.2,"Lhx6-iNeuron"
"cell_423",7552.12,429.62,"Olig"
"cell_424",7530.35,184.72,"astrocytes"
"cell_425",7502.43,609.95,"OPC"
"cell_426",7488.42,262.72,"OPC"
"cell_427",7461.32,-58.0799999999999,"astrocytes"
"cell_428",7395.16,650.18,"OPC"
"cell_429",7398.69,800.32,"Olig"
"cell_430",7390.71,-97.78,"endothelial"
"cell_431",7360.07,388.12,"Olig"
"cell_432",7318.74,581.52,"OPC"
"cell_433",7295.59,6.81999999999994,"endothelial"
"cell_434",7248.82,72.52,"Olig"
"cell_435",7261.23,-231.48,"L5-eNeuron"
"cell_436",7234.12,788.95,"L6-eNeuron"
"cell_437",7211.56,-19.28,"L6-eNeuron"
"cell_438",7209.17,-310.28,"endothelial"
"cell_439",7160.63,295.62,"L6-eNeuron"
"cell_440",7137.62,36.9200000000001,"L6-eNeuron"
"cell_441",7124.44,843.65,"L6-eNeuron"
"cell_442",7108.25,-24.5799999999999,"L6-eNeuron"
"cell_443",7100.08,525.3,"endothelial"
"cell_444",7015.45,458.09,"L6-eNeuron"
"cell_445",7023.28,865.12,"L6-eNeuron"
"cell_446",7003.05,238.12,"L6-eNeuron"
"cell_447",6944.04,385.52,"L5-eNeuron"
"cell_448",6918.81,-38.78,"OPC"
"cell_449",6895.21,412.42,"Olig"
"cell_450",6875.36,-256.58,"L6-eNeuron"
"cell_451",6870.82,681.8,"microglia"
"cell_452",6881.56,91.3199999999999,"L6-eNeuron"
"cell_453",6838.85,423.02,"Olig"
"cell_454",6825.93,223.82,"L6-eNeuron"
"cell_455",6789.47,-72.98,"L6-eNeuron"
"cell_456",6729.67,-266.48,"endothelial"
"cell_457",6732.57,923.04,"L6-eNeuron"
"cell_458",6716.77,297.22,"L6-eNeuron"
"cell_459",6690.27,1077.03,"astrocytes"
"cell_460",6669.17,-19.48,"astrocytes"
"cell_461",6665.47,714.33,"mural"
"cell_462",6624.57,889.06,"endothelial"
"cell_463",6615.87,1036.35,"L6-eNeuron"
"cell_464",6621.07,-312.98,"L6-eNeuron"
"cell_465",6615.17,788.88,"L6-eNeuron"
"cell_466",6571.67,847.55,"L6-eNeuron"
"cell_467",6541.77,48.72,"L5-eNeuron"
"cell_468",6536.77,733.59,"L6-eNeuron"
"cell_469",6528.47,787.31,"OPC"
"cell_470",6520.87,1004.28,"L6-eNeuron"
"cell_471",6467.07,1080.17,"L6-eNeuron"
"cell_472",6467.47,-88.78,"L6-eNeuron"
"cell_473",6453.07,689.88,"microglia"
"cell_474",6408.47,826.31,"L6-eNeuron"
"cell_475",6368.87,-221.88,"L6-eNeuron"
"cell_476",6358.77,379.52,"L6-eNeuron"
"cell_477",6360.87,-35.3800000000001,"L6-eNeuron"
"cell_478",6338.87,85.6199999999999,"L6-eNeuron"
"cell_479",6329.07,225.72,"L5-eNeuron"
"cell_480",6312.77,871.45,"L5-eNeuron"
"cell_481",6297.37,979.4,"Adarb2-iNeuron"
"cell_482",6205.07,-130.38,"microglia"
"cell_483",6202.27,360.72,"L6-eNeuron"
"cell_484",6139.57,-28.98,"mural"
"cell_485",6130.87,240.42,"Lhx6-iNeuron"
"cell_486",7421.66,563.61,"OPC"
"cell_487",7384.47,500.31,"astrocytes"
"cell_488",7342.48,921.66,"Olig"
"cell_489",7253.27,936.48,"L6-eNeuron"
"cell_490",7253.4,263.72,"Olig"
"cell_491",7237.37,200.32,"astrocytes"
"cell_492",7224.04,382.12,"L6-eNeuron"
"cell_493",7206.83,631.2,"L6-eNeuron"
"cell_494",7125.99,167.42,"L5-eNeuron"
"cell_495",6992.58,103.02,"L6-eNeuron"
"cell_496",6704.27,-124.68,"Adarb2-iNeuron"
"cell_497",6666.77,378.82,"L6-eNeuron"
"cell_498",6589.07,505.09,"L6-eNeuron"
"cell_499",6560.97,-105.98,"L6-eNeuron"
"cell_500",6521.87,357.02,"L5-eNeuron"
"cell_501",6515.97,590.03,"L6-eNeuron"
"cell_502",6482.57,798.99,"L6-eNeuron"
"cell_503",6399.67,-153.58,"L6-eNeuron"
"cell_504",6395.27,-311.48,"L6-eNeuron"
"cell_505",6290.07,-200.78,"astrocytes"
"cell_506",6285.57,547.12,"L5-eNeuron"
"cell_507",6252.67,678.91,"OPC"
"cell_508",6241.27,787.18,"L6-eNeuron"
"cell_509",6256.27,-289.88,"Lhx6-iNeuron"
"cell_510",6207.27,565.81,"Olig"
"cell_511",6139.17,670.56,"L6-eNeuron"
"cell_512",7406.31,1036.95,"astrocytes"
"cell_513",6847.45,1179.46,"L6-eNeuron"
"cell_514",6662.67,1207.87,"L6-eNeuron"
"cell_515",6645.07,-519.38,"L6-eNeuron"
"cell_516",6367.17,1240.76,"L5-eNeuron"
"cell_517",6132.47,1002.12,"L5-eNeuron"
"cell_518",6036.27,966.46,"L6-eNeuron"
