combo
NTRK3__L6-eNeuron|HRH3__L5-eNeuron
NTRK3__L6-eNeuron|KCNJ4__L2-L3-eNeuron
NTRK3__L6-eNeuron|KCNJ4__L4-eNeuron
NTRK3__L6-eNeuron|KCNJ4__L5-eNeuron
NTRK3__L6-eNeuron|LINGO1__L2-L3-eNeuron
NTRK3__L6-eNeuron|LINGO1__L4-eNeuron
NTRK3__L6-eNeuron|LINGO1__L5-eNeuron
NTRK3__L6-eNeuron|NLGN2__L5-eNeuron
NTRK3__L6-eNeuron|RTN4R__L4-eNeuron
NTRK3__L6-eNeuron|RTN4R__L5-eNeuron
NTRK3__L6-eNeuron|SLC17A7__L2-L3-eNeuron
