Sender,Receiver,Ligand,Receptor,LRscore,all
endothelial,mural,COL4A2,ITGA1,5.841820833326774,endothelial_COL4A2_mural_ITGA1
OPC,mural,LAMC1,ITGA1,4.182371040951366,OPC_LAMC1_mural_ITGA1
astrocytes,mural,LAMC1,ITGA1,6.7438472216930165,astrocytes_LAMC1_mural_ITGA1
endothelial,mural,LAMC1,ITGA1,4.469826515356739,endothelial_LAMC1_mural_ITGA1
Olig,mural,SEMA7A,ITGA1,6.488081380395713,Olig_SEMA7A_mural_ITGA1
endothelial,mural,SEMA7A,ITGA1,5.561222670218325,endothelial_SEMA7A_mural_ITGA1
astrocytes,mural,LAMB2,ITGA1,4.449179755251327,astrocytes_LAMB2_mural_ITGA1
endothelial,mural,LAMB2,ITGA1,5.05817607309968,endothelial_LAMB2_mural_ITGA1
Olig,OPC,LGI3,FLOT1,10.301072532579123,Olig_LGI3_OPC_FLOT1
Olig,astrocytes,LGI3,FLOT1,13.041880053543233,Olig_LGI3_astrocytes_FLOT1
mural,astrocytes,VTN,ITGB5,9.257345743185978,mural_VTN_astrocytes_ITGB5
mural,endothelial,VTN,ITGB5,6.026824575070453,mural_VTN_endothelial_ITGB5
Olig,astrocytes,WNT6,LRP5,10.991012457288202,Olig_WNT6_astrocytes_LRP5
mural,microglia,TGFB1,TGFBR2,3.687567984774441,mural_TGFB1_microglia_TGFBR2
microglia,OPC,TGFB1,CAV1,5.605710569606159,microglia_TGFB1_OPC_CAV1
mural,OPC,TGFB1,CAV1,4.858599512349171,mural_TGFB1_OPC_CAV1
Olig,endothelial,EFNB3,EPHB4,8.180547072676173,Olig_EFNB3_endothelial_EPHB4
Adarb2_iNeuron,mural,ADAM15,ITGB1,5.780316491589306,Adarb2_iNeuron_ADAM15_mural_ITGB1
L2_L3_eNeuron,mural,ADAM15,ITGB1,5.780316491589306,L2_L3_eNeuron_ADAM15_mural_ITGB1
L4_eNeuron,OPC,AGRN,DAG1,14.003060344083085,L4_eNeuron_AGRN_OPC_DAG1
L4_eNeuron,astrocytes,AGRN,DAG1,14.003060344083085,L4_eNeuron_AGRN_astrocytes_DAG1
L4_eNeuron,endothelial,AGRN,DAG1,14.003060344083085,L4_eNeuron_AGRN_endothelial_DAG1
L4_eNeuron,mural,AGRN,DAG1,14.003060344083085,L4_eNeuron_AGRN_mural_DAG1
L4_eNeuron,OPC,AGRN,LRP4,9.282891228306509,L4_eNeuron_AGRN_OPC_LRP4
L4_eNeuron,Olig,AGRN,LRP4,9.282891228306509,L4_eNeuron_AGRN_Olig_LRP4
L4_eNeuron,astrocytes,AGRN,LRP4,9.282891228306509,L4_eNeuron_AGRN_astrocytes_LRP4
L4_eNeuron,endothelial,AGRN,LRP4,9.282891228306509,L4_eNeuron_AGRN_endothelial_LRP4
L5_eNeuron,OPC,AGRN,DAG1,14.003060344083085,L5_eNeuron_AGRN_OPC_DAG1
L5_eNeuron,astrocytes,AGRN,DAG1,14.003060344083085,L5_eNeuron_AGRN_astrocytes_DAG1
L5_eNeuron,endothelial,AGRN,DAG1,14.003060344083085,L5_eNeuron_AGRN_endothelial_DAG1
L5_eNeuron,mural,AGRN,DAG1,14.003060344083085,L5_eNeuron_AGRN_mural_DAG1
L5_eNeuron,OPC,AGRN,LRP4,9.282891228306509,L5_eNeuron_AGRN_OPC_LRP4
L5_eNeuron,Olig,AGRN,LRP4,9.282891228306509,L5_eNeuron_AGRN_Olig_LRP4
L5_eNeuron,astrocytes,AGRN,LRP4,9.282891228306509,L5_eNeuron_AGRN_astrocytes_LRP4
L5_eNeuron,endothelial,AGRN,LRP4,9.282891228306509,L5_eNeuron_AGRN_endothelial_LRP4
Adarb2_iNeuron,L2_L3_eNeuron,CADM3,CADM3,22.246971976679074,Adarb2_iNeuron_CADM3_L2_L3_eNeuron_CADM3
Adarb2_iNeuron,Lhx6_iNeuron,CADM3,CADM3,22.246971976679074,Adarb2_iNeuron_CADM3_Lhx6_iNeuron_CADM3
Adarb2_iNeuron,OPC,CADM3,CADM3,22.246971976679074,Adarb2_iNeuron_CADM3_OPC_CADM3
L2_L3_eNeuron,Adarb2_iNeuron,CADM3,CADM3,22.246971976679074,L2_L3_eNeuron_CADM3_Adarb2_iNeuron_CADM3
L2_L3_eNeuron,Lhx6_iNeuron,CADM3,CADM3,22.246971976679074,L2_L3_eNeuron_CADM3_Lhx6_iNeuron_CADM3
L2_L3_eNeuron,OPC,CADM3,CADM3,22.246971976679074,L2_L3_eNeuron_CADM3_OPC_CADM3
L4_eNeuron,Adarb2_iNeuron,CADM3,CADM3,22.246971976679074,L4_eNeuron_CADM3_Adarb2_iNeuron_CADM3
L4_eNeuron,L2_L3_eNeuron,CADM3,CADM3,22.246971976679074,L4_eNeuron_CADM3_L2_L3_eNeuron_CADM3
L4_eNeuron,Lhx6_iNeuron,CADM3,CADM3,22.246971976679074,L4_eNeuron_CADM3_Lhx6_iNeuron_CADM3
L4_eNeuron,OPC,CADM3,CADM3,22.246971976679074,L4_eNeuron_CADM3_OPC_CADM3
L5_eNeuron,Adarb2_iNeuron,CADM3,CADM3,22.246971976679074,L5_eNeuron_CADM3_Adarb2_iNeuron_CADM3
L5_eNeuron,L2_L3_eNeuron,CADM3,CADM3,22.246971976679074,L5_eNeuron_CADM3_L2_L3_eNeuron_CADM3
L5_eNeuron,Lhx6_iNeuron,CADM3,CADM3,22.246971976679074,L5_eNeuron_CADM3_Lhx6_iNeuron_CADM3
L5_eNeuron,OPC,CADM3,CADM3,22.246971976679074,L5_eNeuron_CADM3_OPC_CADM3
L6_eNeuron,Adarb2_iNeuron,CADM3,CADM3,22.246971976679074,L6_eNeuron_CADM3_Adarb2_iNeuron_CADM3
L6_eNeuron,Lhx6_iNeuron,CADM3,CADM3,22.246971976679074,L6_eNeuron_CADM3_Lhx6_iNeuron_CADM3
L6_eNeuron,OPC,CADM3,CADM3,22.246971976679074,L6_eNeuron_CADM3_OPC_CADM3
Lhx6_iNeuron,Adarb2_iNeuron,CADM3,CADM3,22.246971976679074,Lhx6_iNeuron_CADM3_Adarb2_iNeuron_CADM3
Lhx6_iNeuron,L2_L3_eNeuron,CADM3,CADM3,22.246971976679074,Lhx6_iNeuron_CADM3_L2_L3_eNeuron_CADM3
Lhx6_iNeuron,OPC,CADM3,CADM3,22.246971976679074,Lhx6_iNeuron_CADM3_OPC_CADM3
OPC,Adarb2_iNeuron,CADM3,CADM3,22.246971976679074,OPC_CADM3_Adarb2_iNeuron_CADM3
OPC,L2_L3_eNeuron,CADM3,CADM3,22.246971976679074,OPC_CADM3_L2_L3_eNeuron_CADM3
OPC,Lhx6_iNeuron,CADM3,CADM3,22.246971976679074,OPC_CADM3_Lhx6_iNeuron_CADM3
Olig,L2_L3_eNeuron,COL5A3,SDC3,7.639730869694906,Olig_COL5A3_L2_L3_eNeuron_SDC3
Olig,L2_L3_eNeuron,EFNB3,EPHB6,12.61138111147754,Olig_EFNB3_L2_L3_eNeuron_EPHB6
Olig,L4_eNeuron,EFNB3,EPHB6,12.61138111147754,Olig_EFNB3_L4_eNeuron_EPHB6
Olig,L6_eNeuron,EFNB3,EPHB6,12.61138111147754,Olig_EFNB3_L6_eNeuron_EPHB6
Olig,Lhx6_iNeuron,EFNB3,EPHB6,12.61138111147754,Olig_EFNB3_Lhx6_iNeuron_EPHB6
Lhx6_iNeuron,astrocytes,FNDC5,ITGB5,9.020065586891826,Lhx6_iNeuron_FNDC5_astrocytes_ITGB5
Lhx6_iNeuron,endothelial,FNDC5,ITGB5,9.020065586891826,Lhx6_iNeuron_FNDC5_endothelial_ITGB5
Lhx6_iNeuron,mural,FNDC5,ITGB5,9.020065586891826,Lhx6_iNeuron_FNDC5_mural_ITGB5
Adarb2_iNeuron,mural,GAS6,AXL,8.489984341869452,Adarb2_iNeuron_GAS6_mural_AXL
L2_L3_eNeuron,mural,GAS6,AXL,8.489984341869452,L2_L3_eNeuron_GAS6_mural_AXL
L4_eNeuron,mural,GAS6,AXL,8.489984341869452,L4_eNeuron_GAS6_mural_AXL
L5_eNeuron,mural,GAS6,AXL,8.489984341869452,L5_eNeuron_GAS6_mural_AXL
L6_eNeuron,mural,GAS6,AXL,8.489984341869452,L6_eNeuron_GAS6_mural_AXL
Lhx6_iNeuron,mural,GAS6,AXL,8.489984341869452,Lhx6_iNeuron_GAS6_mural_AXL
astrocytes,L4_eNeuron,GDF10,ACVR1B,8.357240614229733,astrocytes_GDF10_L4_eNeuron_ACVR1B
Adarb2_iNeuron,microglia,GRN,TNFRSF1B,8.251738720751892,Adarb2_iNeuron_GRN_microglia_TNFRSF1B
L2_L3_eNeuron,microglia,GRN,TNFRSF1B,8.251738720751892,L2_L3_eNeuron_GRN_microglia_TNFRSF1B
